,primaryTitle,isAdult,startYear,runtimeMinutes,genres,PolloRating
206730,009 Re: Cyborg,0,2012,103,"Action,Animation,Sci-Fi",0.24760921665333727
47147,Rats: Night of Terror,0,1984,97,"Horror,Sci-Fi",0.2475663362937562
279038,Greatland,0,2020,104,"Fantasy,Sci-Fi",0.2475663362937562
61368,Zeiram 2,0,1994,107,"Action,Comedy,Sci-Fi",0.24755087141149648
47570,Blind Date,0,1984,106,"Horror,Sci-Fi,Thriller",0.24742569059618122
284411,Alone,0,2019,69,"Adventure,Drama,Sci-Fi",0.24741037748918276
149835,The Singularity Is Near,0,2010,79,"Documentary,Drama,Sci-Fi",0.24741037748918276
224457,Antisocial,0,2013,90,"Horror,Sci-Fi,Thriller",0.2473963659866791
237938,Roar: Tigers of the Sundarbans,0,2014,123,"Action,Adventure,Sci-Fi",0.24737935480861348
271382,Cosmoball,0,2020,118,"Action,Sci-Fi,Sport",0.2473535391055344
124195,Slipstream,0,2005,89,"Action,Sci-Fi,Thriller",0.24733456271838977
86126,Bridge of Dragons,0,1999,92,"Action,Romance,Sci-Fi",0.2472759841291903
257835,Nunnunarvu,0,2016,100,"Romance,Sci-Fi,Thriller",0.24723694123348908
46103,Warriors of the Wasteland,0,1983,91,"Action,Sci-Fi,Thriller",0.2472219159896665
51255,It's Alive III: Island of the Alive,0,1987,95,"Horror,Sci-Fi",0.24719027142820987
115923,Intergalactic Combat,0,2007,90,"Action,Adventure,Sci-Fi",0.2471123354609049
253691,All the Creatures Were Stirring,0,2018,80,"Horror,Sci-Fi",0.24705598105553472
42415,The Secret of Steel City,0,1979,85,"Adventure,Sci-Fi",0.24698613339545428
16032,Her Husband's Affairs,0,1947,84,"Comedy,Sci-Fi",0.2469825449693521
106713,Turn,0,2001,112,"Drama,Fantasy,Sci-Fi",0.24692706450771185
187049,Aftermath,0,2014,92,"Horror,Sci-Fi,Thriller",0.2468577842557142
69639,Rebirth of Mothra II,0,1997,100,"Fantasy,Sci-Fi",0.24682464798814976
48794,Escape from the Bronx,0,1983,89,"Action,Sci-Fi,Thriller",0.24678594779348556
53635,Gunhed,0,1989,100,"Action,Sci-Fi,Thriller",0.24670357315231092
21050,Devil Girl from Mars,0,1954,77,"Horror,Sci-Fi",0.24649872697564404
269169,Edge of Extinction,0,2020,141,"Action,Sci-Fi,Thriller",0.24642189439504456
36196,Eolomea,0,1972,82,"Drama,Romance,Sci-Fi",0.24638802844444557
21732,Bride of the Monster,0,1955,69,"Horror,Sci-Fi",0.24628411480785087
225111,Labyrinthus,0,2014,99,"Adventure,Family,Sci-Fi",0.24624779959796114
195962,Codependent Lesbian Space Alien Seeks Same,0,2011,76,"Comedy,Romance,Sci-Fi",0.24622856064324092
258690,The Man with the Magic Box,0,2017,103,"Drama,Romance,Sci-Fi",0.24621060180217688
127185,Phil the Alien,0,2004,82,"Comedy,Sci-Fi",0.24607653398087911
12650,The Corpse Vanishes,0,1942,64,"Horror,Sci-Fi",0.24604368052730433
193498,Dimensions,0,2011,101,"Drama,Sci-Fi",0.24596123611246118
44135,Murder by Phone,0,1982,95,"Horror,Mystery,Sci-Fi",0.24583144477549285
58200,Tribulation 99: Alien Anomalies Under America,0,1992,48,"Comedy,Sci-Fi",0.24575861381694314
26823,Flight That Disappeared,0,1961,71,"Adventure,Fantasy,Sci-Fi",0.24564554475395806
25060,The 30 Foot Bride of Candy Rock,0,1959,73,"Comedy,Sci-Fi",0.24557292202475262
54314,Tom et Lola,0,1990,97,Sci-Fi,0.24554112099794992
20620,Riders to the Stars,0,1954,81,"Drama,Sci-Fi",0.24552965607894592
248499,His Master's Voice,0,2018,108,"Drama,Sci-Fi",0.24551967124110152
41126,The Last Dinosaur,0,1977,106,"Action,Adventure,Sci-Fi",0.24544296981915556
239979,Occupants,0,2015,81,"Horror,Sci-Fi,Thriller",0.2454365387092194
49552,The Legend of Wisely,0,1987,90,"Action,Adventure,Sci-Fi",0.2453486035714192
23306,The Amazing Colossal Man,0,1957,80,Sci-Fi,0.24530221464040475
46396,Battletruck,0,1982,91,"Action,Adventure,Sci-Fi",0.24514783286066621
46719,The Exterminators of the Year 3000,0,1983,90,"Action,Sci-Fi",0.24504816185746964
270023,Once Upon a Superhero,0,2018,113,"Drama,Sci-Fi",0.24480883414036805
18744,Flight to Mars,0,1951,72,"Drama,Sci-Fi",0.24479615730151064
55452,Shadowzone,0,1990,88,"Horror,Sci-Fi",0.24471174417706792
67175,F,1,1980,80,"Adult,Comedy,Sci-Fi",0.24463507130713413
192685,Ultraman Zero: The Revenge of Belial,0,2010,100,"Action,Sci-Fi",0.2445835090602747
241714,Nova,0,2014,109,"Comedy,Drama,Sci-Fi",0.24455994933851993
165621,The Passenger,0,2021,90,"Horror,Sci-Fi",0.24451788036379493
6034,Men Must Fight,0,1933,72,"Drama,Sci-Fi,War",0.24419724706387813
181791,Deep,0,2021,101,"Drama,Mystery,Sci-Fi",0.24419475643666982
275208,Short Circuit,0,2019,126,"Comedy,Drama,Sci-Fi",0.24418700044132438
165999,The Past Tense,0,2018,65,"Comedy,Sci-Fi",0.24417100991163196
53329,Beyond the Stars,0,1989,88,"Drama,Sci-Fi",0.24408630805662246
240733,World of Death,0,2016,142,"Comedy,Horror,Sci-Fi",0.24392231632504285
142082,The Speed of Thought,0,2011,93,"Sci-Fi,Thriller",0.24384113771714525
154557,Mars,0,2010,90,"Animation,Comedy,Sci-Fi",0.243763424397563
234620,Pod,0,2015,78,"Horror,Mystery,Sci-Fi",0.243754034733362
206626,Toad Road,0,2012,76,"Drama,Horror,Sci-Fi",0.24374735762852498
189043,Wifelike,0,2022,105,"Sci-Fi,Thriller",0.24369735742325954
226140,Higher Power,0,2018,93,"Action,Adventure,Sci-Fi",0.2436647807560827
231444,Be Afraid,0,2017,99,"Horror,Sci-Fi,Thriller",0.24361997405858757
262439,Solis,0,2018,92,"Action,Adventure,Sci-Fi",0.24355895181798526
62953,Barb Wire,0,1996,98,"Action,Sci-Fi",0.2435341825889192
162751,Fairy,0,2020,152,"Drama,Sci-Fi,Thriller",0.24340898506934416
225116,Shree,0,2013,109,"Sci-Fi,Thriller",0.24340584041607236
147702,After Blue,0,2021,129,"Fantasy,Sci-Fi",0.24316615753584758
33577,Manden der tænkte ting,0,1969,93,"Horror,Sci-Fi",0.24314844552782697
257778,Black Hollow Cage,0,2017,105,"Drama,Horror,Sci-Fi",0.24312869451561403
52657,Cyber Ninja,0,1988,71,"Action,Fantasy,Sci-Fi",0.24308113330887374
134222,Night Skies,0,2007,85,"Horror,Sci-Fi,Thriller",0.24302098345762194
167894,Growth,0,2010,90,"Horror,Sci-Fi",0.24284083701634238
253399,The Mildew from Planet Xonader,0,2015,85,"Action,Horror,Sci-Fi",0.2427924863915095
73094,Sleepwalker,0,1998,107,"Drama,Sci-Fi",0.24278782140811023
190029,Hooked 2: Next Level,0,2010,86,"Action,Sci-Fi",0.24271740892073923
214383,Platinum Data,0,2013,133,"Mystery,Sci-Fi",0.2427144419968247
61733,Dr. Jekyll and Ms. Hyde,0,1995,100,"Comedy,Romance,Sci-Fi",0.24240355781352693
93653,Our Heavenly Bodies,0,1920,70,"Documentary,Sci-Fi",0.2423309183195296
165383,Detroit Evolution,0,2020,75,"Romance,Sci-Fi",0.24226443303308404
191339,We Are Not Alone,0,2022,91,"Comedy,Sci-Fi",0.24215520408054855
279211,Loop,0,2020,98,"Drama,Sci-Fi",0.24208857359191369
24336,Varan,0,1958,87,"Horror,Sci-Fi",0.2420337995657829
55966,Critters 4,0,1992,87,"Horror,Sci-Fi",0.24188395491369918
40915,Empire of the Ants,0,1977,89,"Adventure,Horror,Sci-Fi",0.24188366354285676
38424,Prophecies of Nostradamus,0,1974,90,"Action,Sci-Fi",0.24184894456504288
38239,Idaho Transfer,0,1973,86,Sci-Fi,0.2416198445461378
53027,The Terror Within,0,1989,88,"Horror,Sci-Fi",0.24160564698832912
56611,Primal Rage,0,1988,91,"Horror,Sci-Fi,Thriller",0.24144717320820766
180307,You're So Cupid!,0,2010,93,"Drama,Family,Sci-Fi",0.24143955910889267
26189,The Leech Woman,0,1960,77,"Horror,Romance,Sci-Fi",0.2414174525453747
24801,Queen of Outer Space,0,1958,80,"Adventure,Fantasy,Sci-Fi",0.24128882816123337
24428,Frankenstein 1970,0,1958,83,"Horror,Sci-Fi",0.24124934406598095
264340,"Empathy, Inc.",0,2018,97,"Drama,Horror,Sci-Fi",0.24124293714171258
247867,The Cannibal in the Jungle,0,2015,84,"Crime,Horror,Sci-Fi",0.24111664133450206
41055,The Incredible Melting Man,0,1977,86,"Horror,Sci-Fi",0.2410154409774686
45714,Deadly Eyes,0,1982,87,"Horror,Sci-Fi,Thriller",0.24093303717800194
43386,Starcrash,0,1978,92,"Action,Adventure,Sci-Fi",0.24092925142892088
109191,Pulse Pounders,0,1988,77,"Fantasy,Horror,Sci-Fi",0.24089127793752216
19282,Alraune,0,1952,92,"Horror,Sci-Fi",0.24079980742793705
246288,The Mind's Eye,0,2015,87,"Action,Horror,Sci-Fi",0.240749839311137
